レース,year,着順,枠番,馬番,馬名,レース数,G1最高,G2最高,G3最高,性齢,斤量,騎手,タイム,上り,単勝,人気,馬体重,馬体重増減,東西,調教師,馬主
NHKM,2017,11,3,5,プラチナヴォイス,8,10,3,4,牡3,57,石川裕紀,01:33.4,35,15.2,8,508,4,西, 鮫島一歩,本間茂
NHKM,2017,12,4,7,ジョーストリクトリ,7,,1,5,牡3,57,武豊,01:33.6,34.8,17.1,9,490,-2,西, 清水久詞,上田けい子
NHKM,2017,13,2,3,アウトライアーズ,6,12,2,,牡3,57,田辺裕信,01:33.6,34.7,7.7,4,480,0,東, 小島茂之,丸山担
NHKM,2017,14,1,2,キョウヘイ,7,,,1,牡3,57,高倉稜,01:33.7,34.5,38.2,14,424,-4,西, 宮本博,瀬谷隆雄
NHKM,2017,15,5,9,タイセイスターリー,5,,7,2,牡3,57,北村宏司,01:34.0,34.9,38.5,15,518,-2,西, 矢作芳人,田中成奉
NHKM,2017,16,8,17,ナイトバナレット,7,,10,11,牡3,57,藤岡佑介,01:34.0,34.6,100.9,18,478,0,西, 矢作芳人,シルクレーシング
NHKM,2017,17,2,4,カラクレナイ,5,4,1,,牝3,55,Ｍ．デム,01:34.2,35.5,5,1,484,4,西, 松下武士,吉田照哉
NHKM,2017,18,8,18,ガンサリュート,6,,,2,牡3,57,池添謙一,01:34.3,36.1,29.2,12,508,4,西, 安田隆行,キャロットファーム
NHKM,2018,1,6,11,ケイアイノーテック,6,4,2,,牡3,57,藤岡佑介,01:32.8,33.7,12.8,6,456,0,西, 平田修,亀田和弘
NHKM,2018,2,5,9,ギベオン,3,,,2,牡3,57,Ｍ．デム,01:32.8,34.5,5.2,2,508,6,西, 藤原英昭,社台レースホース
NHKM,2018,3,8,17,レッドヴェイロン,6,,,3,牡3,57,岩田康誠,01:32.8,34.1,25,9,474,4,西, 石坂正,東京ホースレーシング
NHKM,2018,4,8,16,ミスターメロディ,5,,,1,牡3,57,福永祐一,01:33.0,34.9,14.7,7,486,4,西, 藤原英昭,グリーンフィールズ
NHKM,2018,5,3,5,プリモシーン,4,10,,1,牝3,55,戸崎圭太,01:33.0,34,10.8,5,478,0,東, 木村哲也,シルクレーシング
NHKM,2018,6,5,10,パクスアメリカーナ,5,,,2,牡3,57,川田将雅,01:33.2,34.7,9.6,4,464,2,西, 中内田充,山紫水明
NHKM,2018,7,4,8,ダノンスマッシュ,6,5,,5,牡3,57,北村友一,01:33.2,35.2,75,13,470,4,西, 安田隆行,ダノックス
NHKM,2018,8,1,1,カツジ,4,,1,5,牡3,57,松山弘平,01:33.5,35,15.6,8,484,6,西, 池添兼雄,カナヤマホールディングス
NHKM,2018,9,7,14,デルタバローズ,3,,3,13,牡3,57,石橋脩,01:33.5,34.2,113.2,16,488,-14,東, 堀宣行,猪熊広次
NHKM,2018,10,7,15,カシアス,7,7,2,1,牡3,57,浜中俊,01:33.5,35.2,137.1,17,480,2,西, 清水久詞,カナヤマホールディングス
NHKM,2018,11,3,6,リョーノテソーロ,5,,8,,牡3,57,吉田隼人,01:33.7,35.1,112.1,15,508,-6,東, 武井亮,了徳寺健二ホールディングス
NHKM,2018,12,4,7,タワーオブロンドン,6,3,1,1,牡3,57,ルメール,01:33.8,35.1,2.6,1,510,0,東, 藤沢和雄,ゴドルフィン
NHKM,2018,13,2,4,フロンティア,5,8,4,1,牡3,57,内田博幸,01:33.8,35.5,66.8,12,462,6,西, 中内田充,サンデーレーシング
NHKM,2018,14,2,3,テトラドラクマ,5,,,1,牝3,55,田辺裕信,01:33.9,35.9,7.5,3,458,-4,東, 小西一男,吉田勝己
NHKM,2018,15,1,2,ファストアプローチ,7,6,6,2,牡3,57,蛯名正義,01:34.0,35.8,90.5,14,530,-14,東, 藤沢和雄,山本英俊
NHKM,2018,16,7,13,ルーカス,4,6,9,2,牡3,57,ボウマン,01:34.5,35.5,42.3,10,500,8,東, 堀宣行,シルクレーシング
NHKM,2018,17,6,12,アンコールプリュ,4,11,2,,牝3,55,藤岡康太,01:34.6,35.8,141.4,18,420,-2,西, 友道康夫,金子真人ホールディングス
NHKM,2018,18,8,18,ロックディスタウン,4,9,,1,牝3,55,池添謙一,01:36.3,38.1,66.1,11,490,-8,東, 藤沢和雄,サンデーレーシング
